"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","File does not exist","COMPROMISED","2017-11-03T15:50:30.216+01:00","0.0","0.0"
"First serenity test","Get all students","SUCCESS","2017-11-03T15:50:34.413+01:00","0.0","0.1"
"First serenity test","This is error","ERROR","2017-11-03T15:50:30.155+01:00","0.0","0.04"
"First serenity test","This is failing","FAILURE","2017-11-03T15:50:30.226+01:00","0.0","4.18"
"First serenity test","This is manula test","PENDING","2017-11-03T15:50:30.119+01:00","0.0","0.02"
"First serenity test","This is pending test","PENDING","2017-11-03T15:50:29.934+01:00","0.0","0.14"
"First serenity test","This is skipp test","IGNORED","2017-11-03T15:50:30.140+01:00","0.0","0.0"
